input,output,selected_items
"[8, 11, 3, 2, 2, 2, 3, 1, 1, 1, 0, 0, 0, 0]","[0, 0, 3, 0, 5, 0, 5, 1, 0, 0, 0, 0]","['Table', 'Bed', 'Chair', 'TV Stand']"
"[10, 10, 2, 3, 1, 3, 1, 2, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 3, 0, 6, 0, 0, 0, 0, 0, 0]","['Bookshelf', 'Bed', 'Dresser']"
"[10, 8, 2, 2, 1, 3, 1, 2, 1, 1, 0, 0, 0, 0]","[0, 0, 0, 2, 0, 5, 0, 7, 0, 0, 0, 0]","['Chair', 'Bookshelf', 'Desk', 'Wardrobe']"
"[12, 10, 2, 3, 2, 2, 2, 2, 1, 3, 1, 3, 1, 1]","[0, 0, 0, 3, 0, 5, 0, 7, 1, 7, 2, 0]","['Bookshelf', 'TV Stand', 'Wardrobe', 'Lamp', 'Sofa', 'Table']"
"[8, 12, 3, 2, 2, 1, 1, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 3, 0, 5, 0, 0, 0, 0, 0, 0, 0]","['Chair', 'Bed', 'Desk']"
"[8, 12, 3, 2, 3, 1, 2, 1, 2, 1, 1, 1, 0, 0]","[0, 0, 3, 0, 6, 0, 3, 1, 5, 1, 0, 0]","['Desk', 'Bed', 'Chair', 'TV Stand', 'Dresser']"
"[11, 12, 3, 2, 3, 2, 2, 2, 3, 1, 3, 1, 1, 1]","[0, 0, 3, 0, 6, 0, 8, 0, 8, 1, 0, 2]","['TV Stand', 'Sofa', 'Table', 'Bed', 'Lamp', 'Bookshelf']"
"[11, 9, 2, 3, 1, 3, 1, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 3, 0, 6, 0, 0, 0, 0, 0, 0]","['Chair', 'Bookshelf', 'Bed']"
"[11, 10, 2, 3, 2, 2, 2, 2, 1, 3, 1, 3, 2, 1]","[0, 0, 0, 3, 0, 5, 0, 7, 1, 7, 2, 0]","['Desk', 'TV Stand', 'Sofa', 'Bookshelf', 'Wardrobe', 'Table']"
"[12, 10, 2, 3, 2, 3, 2, 2, 2, 2, 3, 1, 2, 1]","[0, 0, 0, 3, 0, 6, 0, 8, 2, 0, 5, 0]","['TV Stand', 'Sofa', 'Table', 'Desk', 'Wardrobe', 'Bed']"
"[12, 12, 2, 3, 2, 3, 2, 2, 1, 3, 2, 1, 1, 1]","[0, 0, 0, 3, 0, 6, 0, 8, 0, 11, 1, 8]","['Bed', 'Lamp', 'Table', 'Sofa', 'TV Stand', 'Dresser']"
"[12, 12, 2, 3, 2, 3, 1, 3, 1, 3, 1, 2, 1, 1]","[0, 0, 0, 3, 0, 6, 0, 9, 1, 6, 1, 8]","['Bookshelf', 'Bed', 'Sofa', 'Chair', 'TV Stand', 'Dresser']"
"[10, 9, 2, 3, 2, 2, 2, 2, 3, 1, 3, 1, 1, 1]","[0, 0, 0, 3, 0, 5, 0, 7, 0, 8, 3, 0]","['Table', 'Bed', 'Bookshelf', 'TV Stand', 'Wardrobe', 'Chair']"
"[9, 11, 2, 2, 3, 1, 1, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 2, 0, 5, 0, 0, 0, 0, 0, 0, 0]","['Bookshelf', 'Lamp', 'Table']"
"[12, 11, 2, 3, 2, 3, 1, 3, 1, 2, 1, 1, 1, 1]","[0, 0, 0, 3, 0, 6, 0, 9, 1, 6, 1, 7]","['Sofa', 'Bed', 'Lamp', 'Chair', 'Desk', 'TV Stand']"
"[10, 11, 2, 2, 2, 2, 3, 1, 2, 1, 1, 1, 0, 0]","[0, 0, 2, 0, 4, 0, 7, 0, 9, 0, 0, 0]","['Bookshelf', 'Lamp', 'Table', 'Desk', 'Wardrobe']"
"[11, 8, 2, 3, 2, 3, 2, 2, 1, 3, 1, 2, 1, 1]","[0, 0, 0, 3, 0, 6, 2, 0, 2, 3, 2, 5]","['Table', 'Sofa', 'Bed', 'Lamp', 'Desk', 'Bookshelf']"
"[12, 11, 2, 2, 2, 2, 1, 3, 1, 2, 1, 2, 1, 1]","[0, 0, 0, 2, 0, 4, 0, 7, 0, 9, 1, 4]","['Desk', 'Chair', 'Bookshelf', 'Wardrobe', 'Table', 'Dresser']"
"[8, 9, 3, 1, 2, 1, 1, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 3, 0, 5, 0, 0, 0, 0, 0, 0, 0]","['Chair', 'Dresser', 'TV Stand']"
"[10, 8, 2, 2, 2, 2, 1, 3, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 2, 0, 4, 0, 0, 0, 0, 0, 0]","['TV Stand', 'Table', 'Wardrobe']"
"[10, 10, 2, 3, 2, 2, 1, 3, 1, 1, 0, 0, 0, 0]","[0, 0, 0, 3, 0, 5, 0, 8, 0, 0, 0, 0]","['Wardrobe', 'Chair', 'TV Stand', 'Bed']"
"[8, 8, 3, 2, 2, 1, 1, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 3, 0, 5, 0, 0, 0, 0, 0, 0, 0]","['Desk', 'Chair', 'Sofa']"
"[11, 8, 2, 3, 1, 3, 1, 2, 1, 1, 0, 0, 0, 0]","[0, 0, 0, 3, 0, 6, 1, 3, 0, 0, 0, 0]","['Desk', 'Lamp', 'Bed', 'TV Stand']"
"[10, 9, 2, 3, 2, 2, 1, 3, 3, 1, 1, 2, 1, 1]","[0, 0, 0, 3, 0, 5, 0, 8, 1, 5, 1, 7]","['Lamp', 'TV Stand', 'Desk', 'Table', 'Sofa', 'Bookshelf']"
"[12, 11, 2, 3, 2, 3, 2, 2, 1, 3, 1, 1, 1, 1]","[0, 0, 0, 3, 0, 6, 0, 8, 1, 8, 1, 9]","['Bed', 'Wardrobe', 'Chair', 'Lamp', 'TV Stand', 'Sofa']"
"[11, 11, 2, 2, 2, 2, 2, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 2, 0, 4, 0, 0, 0, 0, 0, 0, 0]","['Wardrobe', 'Table', 'Dresser']"
"[10, 9, 2, 3, 2, 2, 2, 2, 3, 1, 2, 1, 1, 1]","[0, 0, 0, 3, 0, 5, 0, 7, 0, 8, 2, 8]","['Sofa', 'TV Stand', 'Wardrobe', 'Dresser', 'Chair', 'Table']"
"[9, 8, 2, 3, 2, 3, 3, 1, 3, 1, 2, 1, 0, 0]","[0, 0, 0, 3, 0, 6, 0, 7, 3, 0, 0, 0]","['TV Stand', 'Dresser', 'Bookshelf', 'Sofa', 'Bed']"
"[9, 11, 2, 2, 3, 1, 2, 1, 1, 1, 0, 0, 0, 0]","[0, 0, 2, 0, 5, 0, 7, 0, 0, 0, 0, 0]","['Chair', 'Wardrobe', 'Desk', 'TV Stand']"
"[9, 8, 2, 3, 2, 2, 1, 2, 2, 1, 1, 1, 0, 0]","[0, 0, 0, 3, 0, 5, 0, 7, 1, 5, 0, 0]","['Dresser', 'Sofa', 'Wardrobe', 'Desk', 'Chair']"
"[11, 10, 2, 2, 2, 2, 1, 3, 1, 3, 1, 2, 1, 1]","[0, 0, 0, 2, 0, 4, 0, 7, 1, 4, 1, 6]","['TV Stand', 'Bookshelf', 'Chair', 'Dresser', 'Table', 'Wardrobe']"
"[8, 11, 2, 2, 2, 2, 3, 1, 1, 2, 2, 1, 1, 1]","[0, 0, 2, 0, 4, 0, 7, 0, 4, 1, 6, 1]","['Chair', 'Table', 'Desk', 'Dresser', 'TV Stand', 'Wardrobe']"
"[11, 9, 2, 3, 2, 2, 1, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 3, 0, 5, 0, 0, 0, 0, 0, 0]","['Bed', 'Lamp', 'Table']"
"[11, 9, 2, 3, 2, 3, 2, 2, 2, 1, 0, 0, 0, 0]","[0, 0, 0, 3, 0, 6, 0, 8, 0, 0, 0, 0]","['Bed', 'Sofa', 'Desk', 'Wardrobe']"
"[10, 9, 2, 2, 1, 2, 1, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 2, 0, 4, 0, 0, 0, 0, 0, 0]","['Table', 'Lamp', 'Desk']"
"[10, 11, 3, 2, 3, 2, 2, 2, 1, 3, 1, 3, 2, 1]","[0, 0, 3, 0, 6, 0, 8, 0, 9, 0, 0, 2]","['Desk', 'TV Stand', 'Sofa', 'Bed', 'Bookshelf', 'Wardrobe']"
"[8, 8, 2, 3, 2, 2, 1, 3, 1, 3, 1, 1, 1, 1]","[0, 0, 0, 3, 0, 5, 1, 5, 2, 0, 3, 0]","['Lamp', 'Wardrobe', 'Bookshelf', 'Chair', 'TV Stand', 'Bed']"
"[9, 12, 3, 2, 3, 2, 2, 1, 1, 2, 1, 1, 0, 0]","[0, 0, 3, 0, 6, 0, 8, 0, 6, 1, 0, 0]","['Bed', 'Lamp', 'Desk', 'Sofa', 'Dresser']"
"[8, 10, 3, 2, 2, 2, 1, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 3, 0, 5, 0, 0, 0, 0, 0, 0, 0]","['Sofa', 'Table', 'Lamp']"
"[9, 12, 3, 2, 3, 2, 3, 1, 2, 1, 0, 0, 0, 0]","[0, 0, 3, 0, 6, 0, 6, 1, 0, 0, 0, 0]","['Sofa', 'Bed', 'Bookshelf', 'Dresser']"
"[9, 9, 3, 2, 3, 2, 2, 2, 1, 2, 0, 0, 0, 0]","[0, 0, 3, 0, 6, 0, 8, 0, 0, 0, 0, 0]","['Sofa', 'Wardrobe', 'Dresser', 'Bed']"
"[12, 9, 2, 3, 1, 3, 1, 3, 1, 1, 0, 0, 0, 0]","[0, 0, 0, 3, 0, 6, 1, 3, 0, 0, 0, 0]","['Bookshelf', 'Chair', 'Bed', 'TV Stand']"
"[8, 8, 2, 2, 1, 3, 1, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 2, 0, 5, 0, 0, 0, 0, 0, 0]","['Bookshelf', 'Wardrobe', 'Lamp']"
"[10, 12, 2, 2, 3, 1, 2, 1, 1, 1, 0, 0, 0, 0]","[0, 0, 2, 0, 5, 0, 7, 0, 0, 0, 0, 0]","['Desk', 'Wardrobe', 'Chair', 'Bookshelf']"
"[9, 8, 2, 3, 2, 2, 1, 3, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 3, 0, 5, 0, 0, 0, 0, 0, 0]","['TV Stand', 'Sofa', 'Table']"
"[8, 12, 3, 2, 3, 2, 1, 3, 1, 3, 1, 1, 0, 0]","[0, 0, 3, 0, 6, 0, 7, 0, 0, 2, 0, 0]","['Bookshelf', 'Sofa', 'Bed', 'TV Stand', 'Chair']"
"[8, 12, 3, 2, 2, 1, 2, 1, 1, 1, 0, 0, 0, 0]","[0, 0, 3, 0, 5, 0, 7, 0, 0, 0, 0, 0]","['Chair', 'Desk', 'Dresser', 'Bed']"
"[12, 9, 2, 2, 1, 3, 1, 2, 1, 2, 1, 1, 0, 0]","[0, 0, 0, 2, 0, 5, 0, 7, 1, 2, 0, 0]","['TV Stand', 'Lamp', 'Dresser', 'Desk', 'Wardrobe']"
"[11, 12, 2, 2, 3, 1, 1, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 2, 0, 5, 0, 0, 0, 0, 0, 0, 0]","['Chair', 'Table', 'Bookshelf']"
"[8, 11, 3, 2, 2, 2, 2, 2, 1, 3, 2, 1, 1, 1]","[0, 0, 3, 0, 5, 0, 7, 0, 0, 2, 2, 2]","['Table', 'Chair', 'TV Stand', 'Wardrobe', 'Bed', 'Dresser']"
"[12, 10, 1, 2, 1, 2, 1, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 2, 0, 4, 0, 0, 0, 0, 0, 0]","['Dresser', 'Desk', 'Chair']"
"[10, 9, 2, 2, 2, 2, 1, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 2, 0, 4, 0, 0, 0, 0, 0, 0]","['Table', 'Wardrobe', 'Chair']"
"[9, 12, 3, 2, 2, 2, 3, 1, 1, 2, 2, 1, 1, 1]","[0, 0, 3, 0, 5, 0, 8, 0, 5, 1, 7, 1]","['Desk', 'TV Stand', 'Lamp', 'Bed', 'Dresser', 'Table']"
"[12, 11, 2, 3, 2, 2, 1, 2, 1, 2, 0, 0, 0, 0]","[0, 0, 0, 3, 0, 5, 0, 7, 0, 0, 0, 0]","['Desk', 'Wardrobe', 'Sofa', 'Dresser']"
"[10, 9, 2, 3, 1, 2, 1, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 3, 0, 5, 0, 0, 0, 0, 0, 0]","['Desk', 'Lamp', 'Bed']"
"[11, 11, 2, 3, 2, 2, 2, 2, 1, 2, 1, 2, 1, 1]","[0, 0, 0, 3, 0, 5, 0, 7, 0, 9, 1, 7]","['Desk', 'Wardrobe', 'Table', 'Dresser', 'Bed', 'Chair']"
"[9, 8, 2, 3, 1, 3, 1, 2, 1, 2, 0, 0, 0, 0]","[0, 0, 0, 3, 0, 6, 1, 3, 0, 0, 0, 0]","['Dresser', 'Sofa', 'TV Stand', 'Desk']"
"[9, 12, 3, 2, 3, 2, 2, 2, 1, 1, 0, 0, 0, 0]","[0, 0, 3, 0, 6, 0, 8, 0, 0, 0, 0, 0]","['Wardrobe', 'Chair', 'Sofa', 'Bed']"
"[12, 8, 2, 3, 2, 3, 3, 1, 2, 1, 2, 1, 1, 1]","[0, 0, 0, 3, 0, 6, 0, 7, 2, 7, 2, 0]","['Desk', 'Chair', 'TV Stand', 'Bed', 'Dresser', 'Sofa']"
"[8, 9, 3, 2, 2, 2, 1, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 3, 0, 5, 0, 0, 0, 0, 0, 0, 0]","['Sofa', 'Lamp', 'Wardrobe']"
"[12, 11, 2, 3, 1, 3, 1, 2, 1, 1, 0, 0, 0, 0]","[0, 0, 0, 3, 0, 6, 0, 8, 0, 0, 0, 0]","['Lamp', 'Bookshelf', 'Bed', 'Desk']"
"[11, 9, 2, 3, 2, 3, 2, 2, 2, 2, 2, 1, 0, 0]","[0, 0, 0, 3, 0, 6, 2, 0, 0, 8, 0, 0]","['Table', 'Desk', 'Bed', 'Sofa', 'Wardrobe']"
"[9, 10, 3, 2, 3, 2, 2, 2, 1, 2, 1, 1, 1, 1]","[0, 0, 3, 0, 6, 0, 8, 0, 0, 2, 0, 3]","['Wardrobe', 'Dresser', 'Bed', 'Chair', 'Lamp', 'Sofa']"
"[12, 12, 3, 1, 2, 1, 2, 1, 1, 1, 0, 0, 0, 0]","[0, 0, 3, 0, 5, 0, 7, 0, 0, 0, 0, 0]","['Desk', 'TV Stand', 'Dresser', 'Chair']"
"[11, 8, 2, 3, 2, 3, 3, 1, 2, 1, 0, 0, 0, 0]","[0, 0, 0, 3, 0, 6, 0, 7, 0, 0, 0, 0]","['Bed', 'Dresser', 'Sofa', 'TV Stand']"
"[10, 10, 2, 3, 2, 2, 2, 2, 1, 2, 1, 1, 1, 1]","[0, 0, 0, 3, 0, 5, 0, 7, 0, 9, 1, 7]","['Sofa', 'Chair', 'Dresser', 'Wardrobe', 'Lamp', 'Table']"
"[11, 11, 3, 2, 3, 1, 3, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 3, 0, 6, 0, 0, 0, 0, 0, 0, 0]","['Bookshelf', 'Sofa', 'TV Stand']"
"[11, 11, 1, 3, 1, 2, 1, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 3, 0, 5, 0, 0, 0, 0, 0, 0]","['Bookshelf', 'Lamp', 'Dresser']"
"[11, 9, 2, 3, 2, 2, 1, 3, 2, 1, 0, 0, 0, 0]","[0, 0, 0, 3, 0, 5, 0, 8, 0, 0, 0, 0]","['Bed', 'Bookshelf', 'Wardrobe', 'Desk']"
"[12, 9, 2, 2, 1, 3, 1, 3, 2, 1, 1, 2, 0, 0]","[0, 0, 0, 2, 0, 5, 0, 8, 1, 2, 0, 0]","['Dresser', 'TV Stand', 'Desk', 'Wardrobe', 'Bookshelf']"
"[10, 11, 3, 2, 2, 2, 3, 1, 2, 1, 1, 1, 0, 0]","[0, 0, 3, 0, 5, 0, 8, 0, 5, 1, 0, 0]","['Desk', 'Wardrobe', 'Chair', 'Bookshelf', 'Sofa']"
"[10, 10, 3, 2, 2, 2, 3, 1, 2, 1, 1, 1, 1, 1]","[0, 0, 3, 0, 5, 0, 8, 0, 5, 1, 6, 1]","['Sofa', 'Lamp', 'Dresser', 'Table', 'Chair', 'TV Stand']"
"[10, 11, 3, 2, 3, 2, 2, 2, 1, 3, 1, 2, 1, 1]","[0, 0, 3, 0, 6, 0, 8, 0, 9, 0, 9, 2]","['Table', 'Bookshelf', 'Desk', 'Bed', 'Sofa', 'Lamp']"
"[9, 11, 3, 2, 2, 2, 3, 1, 1, 3, 2, 1, 1, 1]","[0, 0, 3, 0, 5, 0, 8, 0, 5, 1, 7, 1]","['Bookshelf', 'Chair', 'Bed', 'Wardrobe', 'Dresser', 'TV Stand']"
"[12, 8, 2, 3, 2, 2, 1, 3, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 3, 0, 5, 0, 0, 0, 0, 0, 0]","['Table', 'Bed', 'TV Stand']"
"[8, 10, 3, 2, 3, 1, 2, 1, 2, 1, 0, 0, 0, 0]","[0, 0, 3, 0, 6, 0, 3, 1, 0, 0, 0, 0]","['Desk', 'Bookshelf', 'Bed', 'Dresser']"
"[10, 8, 2, 3, 2, 2, 1, 2, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 3, 0, 5, 0, 0, 0, 0, 0, 0]","['Wardrobe', 'Bed', 'Dresser']"
"[10, 11, 3, 2, 3, 1, 2, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 3, 0, 6, 0, 0, 0, 0, 0, 0, 0]","['TV Stand', 'Dresser', 'Bed']"
"[12, 11, 2, 3, 2, 2, 2, 2, 1, 3, 1, 1, 0, 0]","[0, 0, 0, 3, 0, 5, 0, 7, 0, 10, 0, 0]","['Lamp', 'Wardrobe', 'Sofa', 'Bookshelf', 'Table']"
"[9, 9, 2, 2, 2, 2, 3, 1, 2, 1, 1, 1, 0, 0]","[0, 0, 2, 0, 4, 0, 7, 0, 4, 1, 0, 0]","['Wardrobe', 'Lamp', 'TV Stand', 'Dresser', 'Table']"
"[10, 9, 2, 3, 2, 3, 2, 2, 1, 1, 0, 0, 0, 0]","[0, 0, 0, 3, 0, 6, 0, 8, 0, 0, 0, 0]","['Bed', 'Sofa', 'Wardrobe', 'Chair']"
"[8, 12, 3, 2, 2, 2, 2, 2, 1, 3, 2, 1, 2, 1]","[0, 0, 3, 0, 5, 0, 7, 0, 0, 2, 2, 2]","['Bookshelf', 'Dresser', 'Table', 'Bed', 'Wardrobe', 'Desk']"
"[8, 11, 3, 2, 2, 2, 2, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 3, 0, 5, 0, 0, 0, 0, 0, 0, 0]","['Desk', 'Sofa', 'Table']"
"[11, 8, 2, 3, 1, 2, 1, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 3, 0, 5, 0, 0, 0, 0, 0, 0]","['Chair', 'Dresser', 'Bed']"
"[11, 8, 2, 2, 2, 2, 1, 3, 3, 1, 1, 1, 0, 0]","[0, 0, 0, 2, 0, 4, 0, 7, 1, 4, 0, 0]","['TV Stand', 'Wardrobe', 'Table', 'Lamp', 'Bookshelf']"
"[10, 12, 3, 2, 3, 2, 3, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 3, 0, 6, 0, 0, 0, 0, 0, 0, 0]","['Sofa', 'TV Stand', 'Bed']"
"[10, 9, 2, 3, 2, 2, 1, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 3, 0, 5, 0, 0, 0, 0, 0, 0]","['Lamp', 'Table', 'Bed']"
"[11, 12, 3, 2, 3, 2, 2, 1, 2, 1, 1, 1, 0, 0]","[0, 0, 3, 0, 6, 0, 8, 0, 10, 0, 0, 0]","['Sofa', 'Desk', 'Bed', 'Chair', 'Dresser']"
"[12, 10, 2, 3, 2, 2, 2, 2, 1, 2, 2, 1, 0, 0]","[0, 0, 0, 3, 0, 5, 0, 7, 0, 9, 0, 0]","['Bed', 'Table', 'Wardrobe', 'Dresser', 'Desk']"
"[12, 9, 2, 3, 1, 3, 1, 2, 2, 1, 1, 1, 0, 0]","[0, 0, 0, 3, 0, 6, 0, 8, 1, 3, 0, 0]","['Bookshelf', 'Bed', 'Desk', 'Dresser', 'Chair']"
"[11, 12, 3, 2, 2, 2, 3, 1, 1, 1, 0, 0, 0, 0]","[0, 0, 3, 0, 5, 0, 8, 0, 0, 0, 0, 0]","['Bed', 'Wardrobe', 'Chair', 'Bookshelf']"
"[10, 11, 3, 1, 3, 1, 2, 1, 2, 1, 1, 1, 0, 0]","[0, 0, 3, 0, 6, 0, 8, 0, 0, 1, 0, 0]","['TV Stand', 'Bookshelf', 'Lamp', 'Dresser', 'Desk']"
"[11, 11, 2, 2, 3, 1, 2, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 2, 0, 5, 0, 0, 0, 0, 0, 0, 0]","['TV Stand', 'Wardrobe', 'Dresser']"
"[12, 11, 2, 3, 2, 2, 2, 2, 1, 3, 3, 1, 1, 2]","[0, 0, 0, 3, 0, 5, 0, 7, 0, 10, 1, 7]","['Bookshelf', 'Desk', 'Bed', 'Wardrobe', 'Table', 'TV Stand']"
"[10, 12, 2, 1, 2, 1, 1, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 2, 0, 4, 0, 0, 0, 0, 0, 0, 0]","['Desk', 'Lamp', 'Dresser']"
"[10, 12, 2, 2, 2, 2, 2, 1, 1, 1, 0, 0, 0, 0]","[0, 0, 2, 0, 4, 0, 6, 0, 0, 0, 0, 0]","['Wardrobe', 'Dresser', 'Table', 'Lamp']"
"[11, 8, 2, 3, 2, 2, 2, 2, 3, 1, 1, 2, 1, 1]","[0, 0, 0, 3, 0, 5, 0, 7, 2, 0, 2, 2]","['Table', 'Wardrobe', 'Desk', 'Sofa', 'TV Stand', 'Lamp']"
"[9, 12, 3, 2, 2, 2, 2, 2, 1, 3, 1, 2, 1, 1]","[0, 0, 3, 0, 5, 0, 7, 0, 8, 0, 8, 2]","['Lamp', 'Dresser', 'Bed', 'Bookshelf', 'Wardrobe', 'Table']"
"[10, 10, 3, 2, 2, 2, 2, 2, 3, 1, 2, 1, 0, 0]","[0, 0, 3, 0, 5, 0, 7, 0, 7, 1, 0, 0]","['Sofa', 'Table', 'Desk', 'Wardrobe', 'Bookshelf']"
"[8, 8, 2, 2, 2, 2, 3, 1, 1, 2, 2, 1, 0, 0]","[0, 0, 2, 0, 4, 0, 7, 0, 4, 1, 0, 0]","['TV Stand', 'Wardrobe', 'Desk', 'Table', 'Dresser']"
"[9, 10, 3, 2, 3, 1, 1, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 3, 0, 6, 0, 0, 0, 0, 0, 0, 0]","['TV Stand', 'Lamp', 'Bed']"
"[10, 9, 2, 3, 2, 3, 2, 2, 2, 1, 1, 1, 0, 0]","[0, 0, 0, 3, 0, 6, 0, 8, 2, 0, 0, 0]","['Sofa', 'Lamp', 'Wardrobe', 'Dresser', 'Bed']"
"[10, 11, 2, 2, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 2, 0, 3, 0, 0, 0, 0, 0, 0, 0]","['Wardrobe', 'Chair', 'Lamp']"
"[10, 11, 2, 2, 3, 1, 1, 1, 1, 1, 0, 0, 0, 0]","[0, 0, 2, 0, 5, 0, 6, 0, 0, 0, 0, 0]","['Bookshelf', 'Lamp', 'Chair', 'Table']"
"[8, 9, 3, 2, 2, 1, 1, 1, 1, 1, 0, 0, 0, 0]","[0, 0, 3, 0, 5, 0, 6, 0, 0, 0, 0, 0]","['Lamp', 'Dresser', 'Bed', 'Chair']"
"[12, 11, 2, 3, 2, 3, 2, 2, 1, 3, 1, 2, 1, 1]","[0, 0, 0, 3, 0, 6, 0, 8, 1, 8, 1, 10]","['Lamp', 'TV Stand', 'Sofa', 'Desk', 'Wardrobe', 'Bed']"
"[9, 11, 3, 2, 2, 1, 1, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 3, 0, 5, 0, 0, 0, 0, 0, 0, 0]","['Desk', 'Lamp', 'Bed']"
"[8, 10, 3, 2, 3, 2, 2, 1, 1, 1, 1, 1, 0, 0]","[0, 0, 3, 0, 6, 0, 6, 1, 7, 1, 0, 0]","['Sofa', 'Chair', 'Dresser', 'Lamp', 'Bed']"
"[12, 9, 2, 2, 1, 3, 1, 2, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 2, 0, 5, 0, 0, 0, 0, 0, 0]","['TV Stand', 'Dresser', 'Table']"
"[9, 11, 2, 2, 3, 1, 2, 1, 1, 1, 0, 0, 0, 0]","[0, 0, 2, 0, 5, 0, 7, 0, 0, 0, 0, 0]","['Chair', 'Bookshelf', 'Wardrobe', 'Desk']"
"[8, 10, 3, 2, 2, 2, 2, 1, 1, 1, 1, 1, 0, 0]","[0, 0, 3, 0, 5, 0, 7, 0, 5, 1, 0, 0]","['Bed', 'Table', 'Chair', 'Lamp', 'Desk']"
"[8, 11, 3, 2, 2, 1, 1, 1, 1, 1, 0, 0, 0, 0]","[0, 0, 3, 0, 5, 0, 6, 0, 0, 0, 0, 0]","['Dresser', 'Lamp', 'Bed', 'Chair']"
"[9, 8, 2, 3, 1, 2, 1, 2, 1, 1, 0, 0, 0, 0]","[0, 0, 0, 3, 0, 5, 0, 7, 0, 0, 0, 0]","['Desk', 'Bed', 'Dresser', 'Chair']"
"[10, 12, 3, 2, 2, 2, 2, 2, 3, 1, 2, 1, 1, 1]","[0, 0, 3, 0, 5, 0, 7, 0, 7, 1, 9, 1]","['Wardrobe', 'Table', 'Lamp', 'TV Stand', 'Desk', 'Bed']"
"[8, 12, 3, 2, 3, 2, 1, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 3, 0, 6, 0, 0, 0, 0, 0, 0, 0]","['Sofa', 'Lamp', 'Bed']"
"[9, 11, 2, 2, 2, 2, 3, 1, 1, 1, 0, 0, 0, 0]","[0, 0, 2, 0, 4, 0, 7, 0, 0, 0, 0, 0]","['Bookshelf', 'Lamp', 'Table', 'Wardrobe']"
"[11, 8, 2, 3, 2, 2, 1, 3, 1, 1, 1, 1, 0, 0]","[0, 0, 0, 3, 0, 5, 1, 5, 1, 6, 0, 0]","['Chair', 'Sofa', 'Lamp', 'Wardrobe', 'TV Stand']"
"[9, 11, 3, 2, 2, 2, 3, 1, 1, 3, 0, 0, 0, 0]","[0, 0, 3, 0, 5, 0, 8, 0, 0, 0, 0, 0]","['Table', 'TV Stand', 'Bookshelf', 'Bed']"
"[10, 12, 3, 2, 2, 1, 1, 1, 1, 1, 0, 0, 0, 0]","[0, 0, 3, 0, 5, 0, 6, 0, 0, 0, 0, 0]","['Sofa', 'Chair', 'Dresser', 'Lamp']"
"[9, 8, 2, 3, 2, 3, 3, 1, 2, 1, 2, 1, 0, 0]","[0, 0, 0, 3, 0, 6, 0, 7, 2, 7, 0, 0]","['Desk', 'Bed', 'Bookshelf', 'Sofa', 'Dresser']"
"[8, 9, 2, 2, 3, 1, 3, 1, 2, 1, 2, 1, 0, 0]","[0, 0, 2, 0, 5, 0, 2, 1, 4, 1, 0, 0]","['Dresser', 'Wardrobe', 'TV Stand', 'Bookshelf', 'Desk']"
"[11, 11, 2, 3, 1, 3, 1, 2, 1, 1, 0, 0, 0, 0]","[0, 0, 0, 3, 0, 6, 0, 8, 0, 0, 0, 0]","['Bed', 'Dresser', 'TV Stand', 'Lamp']"
"[12, 8, 2, 3, 2, 3, 2, 2, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 3, 0, 6, 0, 0, 0, 0, 0, 0]","['Wardrobe', 'Bed', 'Sofa']"
